# areas, intensities, x, y
1.046200000000000000e+04,3.360660000000000000e+05,1.768384097171388873e+02,5.023606910547333086e+02
1.111800000000000000e+04,3.840940000000000000e+05,3.213078699485021730e+02,4.362101881310304066e+02
1.169800000000000000e+04,3.274100000000000000e+05,5.635052228093215945e+02,1.714830243425674325e+02
9.278000000000000000e+03,3.487020000000000000e+05,8.308037177876811938e+02,9.729672729149818906e+02
