# areas, intensities, x, y
1.126000000000000000e+04,1.803854351687389013e+01,1.205814961056352530e+02,1.619861604813060580e+02
1.263400000000000000e+04,1.030138515117935754e+02,2.117525396146070875e+02,5.064245683942167489e+02
2.460000000000000000e+02,2.617479674796748057e+01,1.612081068488895710e+02,5.405946575555210529e+02
5.750000000000000000e+02,1.879130434782608745e+02,1.972582415548357346e+02,5.040928551596483089e+02
1.255500000000000000e+04,2.546236559139784816e+01,6.529771052302302223e+02,5.414701357607607406e+02
1.530000000000000000e+02,2.005882352941176450e+01,6.439240795047246593e+02,5.591498859563375845e+02
1.106200000000000000e+04,3.275013559934912166e+01,7.416769615934548483e+02,8.153210813675534610e+02
