# areas, intensities, x, y
6.300000000000000000e+03,2.412850000000000000e+05,3.053613817684480978e+02,5.432706881903143312e+02
7.710000000000000000e+03,2.447250000000000000e+05,4.261479211359689430e+02,1.490233200531208411e+02
7.212000000000000000e+03,2.641050000000000000e+05,7.034267658696352328e+02,1.084805827227807185e+03
6.533000000000000000e+03,2.537530000000000000e+05,7.365532466611232394e+02,6.436827702529625412e+02
