0.000000000000000000e+00,8.359092801816608853e-01,6.920800000000000000e+04,2.911753878046084765e+02,2.147246196089086588e+05
5.000000000000000000e+00,8.345338387840007810e-01,7.017400000000000000e+04,2.908422243256546267e+02,2.039213737378751975e+05
1.000000000000000000e+01,8.363116528982257325e-01,7.279300000000000000e+04,2.900232695583201235e+02,1.862520402034788567e+05
1.500000000000000000e+01,8.370570844249297648e-01,7.550000000000000000e+04,2.892453576925585708e+02,1.612128732013541739e+05
2.000000000000000000e+01,8.456271423641962270e-01,7.644700000000000000e+04,2.879417493836491531e+02,1.568041980061284266e+05
2.500000000000000000e+01,8.532369562507839955e-01,7.667700000000000000e+04,2.863927411288800613e+02,1.688379571720300301e+05
3.000000000000000000e+01,8.608275331947472520e-01,7.651900000000000000e+04,2.838463114902322673e+02,1.671105398693537281e+05
3.500000000000000000e+01,8.695290435752820457e-01,7.747900000000000000e+04,2.810636393640143638e+02,1.515394711063789437e+05
4.000000000000000000e+01,8.747534765764174436e-01,7.756600000000000000e+04,2.775455789401224820e+02,1.482382429190207913e+05
4.500000000000000000e+01,8.882530010632418982e-01,7.842500000000000000e+04,2.746661215667040778e+02,1.534165374402868038e+05
5.000000000000000000e+01,8.964976340564421164e-01,8.051000000000000000e+04,2.715413782444717867e+02,1.480199342948337726e+05
5.500000000000000000e+01,9.067397029254981033e-01,8.341400000000000000e+04,2.682837764590157690e+02,1.382327228696927195e+05
6.000000000000000000e+01,9.200500641431805793e-01,8.651900000000000000e+04,2.637691685640895685e+02,1.426047128127567121e+05
6.500000000000000000e+01,9.368070442477733906e-01,8.848900000000000000e+04,2.601112444110171964e+02,1.612831308662800293e+05
7.000000000000000000e+01,9.523809523809523281e-01,8.981600000000000000e+04,2.544121350465322848e+02,1.824335992836044461e+05
