# areas, intensities, x, y
1.083000000000000000e+04,2.611130000000000000e+05,1.978002971893394886e+02,5.893948252289238781e+02
1.101900000000000000e+04,2.727900000000000000e+05,5.935608196781406605e+02,7.408375673595072897e+01
1.033500000000000000e+04,2.928680000000000000e+05,6.171396704317303374e+02,8.860576812762063810e+02
1.038200000000000000e+04,3.151330000000000000e+05,7.139786375911123741e+02,6.893505757886352967e+02
